# Selection         : all 
# Volume            : 1.517022344035e-06
# Time              	max(p)	location	cell	processor	max(T)	location	cell	processor	max(rho)	location	cell	processor
0                   	1.013250000000e+05	(-1.439511807232e-04 -1.450361433438e-03 1.635000000000e-01)	0	7	3.000000000000e+02	(-1.439511807232e-04 -1.450361433438e-03 1.635000000000e-01)	0	7	1.173974748614e+00	(-1.439511807232e-04 -1.450361433438e-03 1.635000000000e-01)	0	7
0.000555556         	1.018338601532e+05	(1.439511807232e-04 -1.450361433438e-03 1.500000000000e-03)	4	1	3.003384161146e+02	(6.310688967143e-04 -5.089441238898e-04 4.500000000000e-03)	673	1	1.179498370590e+00	(-1.439511807232e-04 -1.450361433438e-03 1.500000000000e-03)	0	1
0.00119048          	1.017953094856e+05	(-1.450361433438e-03 -1.439511807232e-04 2.250000000000e-02)	1096	1	3.004111145196e+02	(5.089441238898e-04 -6.310688967143e-04 1.050000000000e-02)	829	1	1.179180764398e+00	(-1.450361433438e-03 1.439511807232e-04 2.250000000000e-02)	1283	1
0.00195238          	1.013313625405e+05	(-9.211836183558e-04 1.122758919750e-03 1.725000000000e-01)	1287	7	3.001058285768e+02	(4.792676458155e-05 6.357968484107e-04 6.150000000000e-02)	2973	3	1.174110612039e+00	(1.122758919750e-03 9.211836183558e-04 1.605000000000e-01)	2283	4
0.00271429          	1.013179982651e+05	(9.211836183558e-04 -1.122758919750e-03 2.145000000000e-01)	770	6	2.999981162429e+02	(-1.450361433438e-03 1.439511807232e-04 2.145000000000e-01)	1479	6	1.173909415439e+00	(8.066864254722e-04 -9.861947909795e-04 2.145000000000e-01)	1069	6
0.00347619          	1.013255018637e+05	(-4.869511760624e-21 7.500000000000e-05 2.145000000000e-01)	2905	6	3.000288620375e+02	(9.211836183558e-04 -1.122758919750e-03 9.750000000000e-02)	378	2	1.174220020523e+00	(-1.041018430753e-04 1.112323874981e-03 1.155000000000e-01)	2412	5
0.0042381           	1.017742591061e+05	(-1.439511807232e-04 1.450361433438e-03 1.500000000000e-03)	1290	1	3.002605992335e+02	(4.171319931163e-04 -5.215619006575e-04 1.650000000000e-02)	1365	1	1.178801494373e+00	(-1.439511807232e-04 1.450361433438e-03 1.500000000000e-03)	1290	1
0.005               	1.015672876428e+05	(-1.439511807232e-04 -1.450361433438e-03 1.500000000000e-03)	0	1	3.002629061240e+02	(6.357968484107e-04 -4.792676458155e-05 1.950000000000e-02)	2526	1	1.176794638913e+00	(-4.223231127184e-04 -1.392395547604e-03 1.500000000000e-03)	2	1
0.00571429          	1.013230412636e+05	(1.122758919750e-03 -9.211836183558e-04 2.145000000000e-01)	931	6	2.999991938553e+02	(-1.439511807232e-04 -1.450361433438e-03 2.145000000000e-01)	276	6	1.173965321680e+00	(-4.171319931163e-04 5.215619006575e-04 2.145000000000e-01)	3068	6
0.00642857          	1.013212593536e+05	(-4.869511760624e-21 7.500000000000e-05 2.145000000000e-01)	2905	6	2.999991025121e+02	(-1.450361433438e-03 1.439511807232e-04 2.145000000000e-01)	1479	6	1.173947539044e+00	(-4.792676458155e-05 6.357968484107e-04 2.145000000000e-01)	3165	6
0.00714286          	1.014849213860e+05	(1.439511807232e-04 1.450361433438e-03 1.500000000000e-03)	1487	1	3.001082898900e+02	(-1.057426186272e-03 8.664077804109e-04 1.500000000000e-03)	747	1	1.175961900172e+00	(2.045194939462e-20 3.750000000000e-04 7.500000000000e-03)	2632	1
0.00785714          	1.016814199408e+05	(1.439511807232e-04 -1.450361433438e-03 1.500000000000e-03)	4	1	3.002480489120e+02	(-3.172321073573e-04 4.024084042325e-04 2.550000000000e-02)	3108	1	1.177885904682e+00	(1.439511807232e-04 -1.450361433438e-03 1.500000000000e-03)	4	1
0.00857143          	1.014050235626e+05	(-1.439511807232e-04 1.450361433438e-03 1.500000000000e-03)	1290	1	3.001509330901e+02	(-7.500000000000e-05 1.500000000000e-04 2.550000000000e-02)	2989	1	1.175005415122e+00	(1.122758919750e-03 9.211836183558e-04 1.500000000000e-03)	778	1
0.00928571          	1.013223418174e+05	(-7.500000000000e-05 0.000000000000e+00 2.145000000000e-01)	2792	6	2.999992485205e+02	(-1.439511807232e-04 -1.450361433438e-03 2.145000000000e-01)	276	6	1.173964463629e+00	(-4.869511760624e-21 7.500000000000e-05 2.145000000000e-01)	2905	6
0.01                	1.013234987224e+05	(1.122758919750e-03 -9.211836183558e-04 2.145000000000e-01)	931	6	2.999995667374e+02	(1.439511807232e-04 1.450361433438e-03 2.145000000000e-01)	2879	6	1.173976276692e+00	(-4.869511760624e-21 7.500000000000e-05 2.145000000000e-01)	2905	6
