# Selection         : all 
# Volume            : 1.517022344035e-06
# Time              	maxMag(U)	location	cell	processor
0                   	0.000000000000e+00	(-1.439511807232e-04 -1.450361433438e-03 1.635000000000e-01)	0	7
0.000555556         	1.673902740048e+00	(5.089441238898e-04 6.310688967143e-04 4.500000000000e-03)	2199	1
0.00119048          	2.289597757076e+00	(-6.310688967143e-04 -5.089441238898e-04 7.050000000000e-02)	1179	3
0.00195238          	3.252844468035e+00	(-5.089441238898e-04 6.310688967143e-04 2.115000000000e-01)	2937	6
0.00271429          	1.996157109176e+00	(5.215619006575e-04 -4.171319931163e-04 4.500000000000e-03)	816	1
0.00347619          	1.990724696373e+00	(4.024084042325e-04 -3.172321073573e-04 4.500000000000e-03)	972	1
0.0042381           	2.064193387767e+00	(3.000000000000e-04 -2.250000000000e-04 4.500000000000e-03)	956	1
0.005               	3.055638872331e+00	(3.172321073573e-04 4.024084042325e-04 2.055000000000e-01)	2991	6
0.00571429          	2.868299632814e+00	(2.250000000000e-04 3.000000000000e-04 2.055000000000e-01)	2901	6
0.00642857          	2.178471159479e+00	(-1.947804704249e-21 -7.500000000000e-05 1.050000000000e-02)	1718	1
0.00714286          	2.213082666260e+00	(-1.947804704249e-21 -7.500000000000e-05 1.050000000000e-02)	1718	1
0.00785714          	2.492652726667e+00	(0.000000000000e+00 7.500000000000e-05 1.995000000000e-01)	2116	6
0.00857143          	3.290651779234e+00	(-7.500000000000e-05 -2.921707056374e-21 2.025000000000e-01)	2117	6
0.00928571          	2.716288080128e+00	(-9.739023521247e-22 -7.500000000000e-05 1.425000000000e-01)	1512	4
0.01                	2.364095078279e+00	(-7.500000000000e-05 0.000000000000e+00 1.650000000000e-02)	2310	1
