# Selection         : all 
# Volume            : 1.517022344035e-06
# Time              	min(p)	location	cell	processor	min(T)	location	cell	processor	min(rho)	location	cell	processor
0                   	1.013250000000e+05	(-1.439511807232e-04 -1.450361433438e-03 1.635000000000e-01)	0	7	3.000000000000e+02	(-1.439511807232e-04 -1.450361433438e-03 1.635000000000e-01)	0	7	1.173974748614e+00	(-1.439511807232e-04 -1.450361433438e-03 1.635000000000e-01)	0	7
0.000555556         	1.013277824233e+05	(-1.122758919750e-03 -9.211836183558e-04 2.145000000000e-01)	769	6	3.000005106293e+02	(1.439511807232e-04 1.450361433438e-03 2.145000000000e-01)	2879	6	1.174000502658e+00	(-5.089441238898e-04 -6.310688967143e-04 2.145000000000e-01)	1583	6
0.00119048          	1.013285971143e+05	(4.171319931163e-04 5.215619006575e-04 2.145000000000e-01)	3116	6	3.000003788018e+02	(-1.439511807232e-04 1.450361433438e-03 2.145000000000e-01)	2760	6	1.174010062992e+00	(5.089441238898e-04 6.310688967143e-04 2.145000000000e-01)	3081	6
0.00195238          	1.012153010272e+05	(7.500000000000e-05 0.000000000000e+00 1.050000000000e-02)	1923	1	2.998543527752e+02	(9.861947909795e-04 8.066864254722e-04 1.500000000000e-03)	1077	1	1.172299743440e+00	(4.792676458155e-05 -6.357968484107e-04 1.050000000000e-02)	647	1
0.00271429          	1.009216444539e+05	(1.122758919750e-03 -9.211836183558e-04 5.850000000000e-02)	138	3	2.996782807993e+02	(-7.316120675181e-04 5.932408636290e-04 1.500000000000e-03)	1393	1	1.169617698857e+00	(1.450361433438e-03 1.439511807232e-04 5.550000000000e-02)	383	3
0.00347619          	1.012441718682e+05	(-1.439511807232e-04 1.450361433438e-03 4.500000000000e-03)	1486	1	2.998034605252e+02	(7.316120675181e-04 5.932408636290e-04 4.500000000000e-03)	1815	1	1.172979579242e+00	(-9.211836183558e-04 1.122758919750e-03 1.500000000000e-03)	766	1
0.0042381           	1.013299865377e+05	(-9.739023521247e-22 -7.500000000000e-05 2.145000000000e-01)	2659	6	3.000006354440e+02	(1.439511807232e-04 1.450361433438e-03 2.145000000000e-01)	2879	6	1.174023835684e+00	(-8.066864254722e-04 9.861947909795e-04 2.145000000000e-01)	2601	6
0.005               	1.013261797527e+05	(1.122758919750e-03 -9.211836183558e-04 2.145000000000e-01)	931	6	2.999960308533e+02	(-9.211836183558e-04 -1.122758919750e-03 1.725000000000e-01)	130	7	1.173989535928e+00	(1.439511807232e-04 -1.450361433438e-03 2.145000000000e-01)	375	6
0.00571429          	1.010265582402e+05	(1.450361433438e-03 -1.439511807232e-04 1.650000000000e-02)	934	1	2.997898352909e+02	(9.861947909795e-04 8.066864254722e-04 1.500000000000e-03)	1077	1	1.170728908173e+00	(1.947804704249e-21 -2.250000000000e-04 1.950000000000e-02)	1934	1
0.00642857          	1.010489797676e+05	(-1.450361433438e-03 -1.439511807232e-04 4.500000000000e-03)	268	1	2.997293785299e+02	(4.792676458155e-05 6.357968484107e-04 4.500000000000e-03)	2881	1	1.170904956415e+00	(-1.439511807232e-04 1.450361433438e-03 1.500000000000e-03)	1290	1
0.00714286          	1.013262850093e+05	(-4.869511760624e-21 7.500000000000e-05 2.145000000000e-01)	2905	6	2.999577420838e+02	(2.045194939462e-20 3.750000000000e-04 7.500000000000e-03)	2632	1	1.173987676341e+00	(-1.122758919750e-03 9.211836183558e-04 2.145000000000e-01)	2084	6
0.00785714          	1.013299183046e+05	(1.122758919750e-03 -9.211836183558e-04 2.145000000000e-01)	931	6	2.999995870164e+02	(-4.869511760624e-21 7.500000000000e-05 2.145000000000e-01)	2905	6	1.174024124390e+00	(9.861947909795e-04 -8.066864254722e-04 2.145000000000e-01)	1255	6
0.00857143          	1.013160319717e+05	(2.921707056374e-21 7.500000000000e-05 1.725000000000e-01)	2116	7	2.999735736674e+02	(1.122758919750e-03 -9.211836183558e-04 1.500000000000e-03)	90	1	1.173742845072e+00	(1.558243763400e-20 3.750000000000e-04 1.545000000000e-01)	3050	4
0.00928571          	1.010347595293e+05	(1.439511807232e-04 1.450361433438e-03 4.500000000000e-03)	1689	1	2.997979854422e+02	(9.085371793024e-04 7.415772447294e-04 1.500000000000e-03)	1245	1	1.170903452758e+00	(-1.450361433438e-03 1.439511807232e-04 4.500000000000e-03)	367	1
0.01                	1.011704530785e+05	(1.439511807232e-04 1.450361433438e-03 1.050000000000e-02)	2089	1	2.998037078390e+02	(2.250000000000e-04 3.000000000000e-04 1.050000000000e-02)	2647	1	1.172218503326e+00	(-1.439511807232e-04 -1.450361433438e-03 1.500000000000e-03)	0	1
