# Selection         : all 
# Volume            : 1.517022344035e-06
# Time              	minMag(U)	location	cell	processor
0                   	0.000000000000e+00	(-1.439511807232e-04 -1.450361433438e-03 1.635000000000e-01)	0	7
0.000555556         	2.785349362123e-01	(1.439511807232e-04 -1.450361433438e-03 2.145000000000e-01)	375	6
0.00119048          	3.867245562601e-01	(1.439511807232e-04 1.450361433438e-03 7.500000000000e-03)	1891	1
0.00195238          	1.287934816646e-01	(1.439511807232e-04 1.450361433438e-03 7.500000000000e-03)	1891	1
0.00271429          	4.646528111682e-04	(-1.122758919750e-03 -9.211836183558e-04 9.450000000000e-02)	272	2
0.00347619          	7.315127054861e-04	(-1.281823592926e-03 -6.847178499678e-04 7.650000000000e-02)	768	3
0.0042381           	1.769598620141e-01	(-1.439511807232e-04 1.450361433438e-03 4.950000000000e-02)	2618	0
0.005               	1.920305532892e-01	(1.439511807232e-04 1.450361433438e-03 7.500000000000e-03)	1891	1
0.00571429          	1.359228666397e-01	(-1.450361433438e-03 1.439511807232e-04 4.950000000000e-02)	1283	0
0.00642857          	9.204748240836e-04	(-1.376470257185e-03 1.352405674850e-04 8.550000000000e-02)	465	2
0.00714286          	2.602540671284e-04	(-1.450361433438e-03 -1.439511807232e-04 1.425000000000e-01)	366	4
0.00785714          	1.664386048266e-01	(1.450361433438e-03 1.439511807232e-04 7.500000000000e-03)	629	1
0.00857143          	1.724052533099e-01	(1.450361433438e-03 1.439511807232e-04 7.500000000000e-03)	629	1
0.00928571          	1.189631662854e-03	(1.439511807232e-04 -1.450361433438e-03 2.145000000000e-01)	375	6
0.01                	2.277509788936e-03	(1.057426186272e-03 -8.664077804109e-04 9.150000000000e-02)	362	2
