# Residuals         
# Time              	p                   	Ux                  	Uy                  	Uz                  	T                   
0                   	N/A	N/A	N/A
0.000555556         	9.999999671996e-01	9.999999113768e-01	9.999999162763e-01	9.999999999999e-01	N/A
0.00119048          	8.089803233296e-02	2.887405826984e-01	2.887387575617e-01	6.356659333671e-01	N/A
0.00195238          	6.193835743323e-02	2.417949727159e-01	2.417944901240e-01	4.462354267686e-01	N/A
0.00271429          	3.922080229368e-01	2.461933457050e-01	2.461933518570e-01	1.780850263936e-01	N/A
0.00347619          	5.692164550269e-02	2.526624758046e-01	2.526620816691e-01	4.148889456756e-01	N/A
0.0042381           	4.268122756689e-01	1.739316801995e-01	1.739319629608e-01	1.857450153324e-01	N/A
0.005               	3.768352262263e-02	1.473801553025e-01	1.473802201638e-01	4.912461621684e-01	N/A
0.00571429          	1.128108834481e-01	1.794806244812e-01	1.794810211635e-01	1.885861140058e-01	N/A
0.00642857          	5.134452720434e-02	6.321674211576e-02	6.321664428377e-02	3.186245991358e-01	N/A
0.00714286          	7.165094955961e-02	1.334680634300e-01	1.334685358934e-01	2.911442175907e-01	N/A
0.00785714          	1.061495542031e-01	9.662964440377e-02	9.663014800289e-02	2.133825504005e-01	N/A
0.00857143          	5.029513321991e-02	1.372214291886e-01	1.372206260827e-01	3.285371183749e-01	N/A
0.00928571          	2.914375161195e-01	9.810794315950e-02	9.810852443785e-02	8.333583505947e-02	N/A
0.01                	1.955655042053e-02	6.246312418725e-02	6.246323947005e-02	2.991704305971e-01	N/A
